Material: Name,Material: Area,Material: Volume,Type,Family,Function,Width,Length,Volume
Concrete Masonry Units,20 m²,2.43 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,1040,2.43 m³
Concrete Masonry Units,9 m²,1.42 m³,BEN714_IN-06_150,Basic Wall,Exterior,150,3089,1.42 m³
Air,7 m²,0.36 m³,BEN714_PT_03-70,Basic Wall,Interior,70,1892,0.51 m³
Gypsum Wall Board,15 m²,0.15 m³,BEN714_PT_03-70,Basic Wall,Interior,70,1892,0.51 m³
Gypsum Wall Board,2 m²,0.05 m³,BEN714_PT_04-30,Basic Wall,Interior,30,495,0.05 m³
Gypsum Wall Board,2 m²,0.05 m³,BEN714_PT_04-30,Basic Wall,Interior,30,466,0.05 m³
Gypsum Wall Board,3 m²,0.09 m³,BEN714_PT_04-30,Basic Wall,Interior,30,823,0.09 m³
Gypsum Wall Board,27 m²,0.80 m³,BEN714_PT_04-30,Basic Wall,Interior,30,6955,0.80 m³
Gypsum Wall Board,3 m²,0.09 m³,BEN714_PT_04-30,Basic Wall,Interior,30,775,0.09 m³
Gypsum Wall Board,2 m²,0.06 m³,BEN714_PT_04-30,Basic Wall,Interior,30,525,0.06 m³
Gypsum Wall Board,5 m²,0.14 m³,BEN714_PT_04-30,Basic Wall,Interior,30,1360,0.14 m³
Concrete Masonry Units,179 m²,25.07 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,20017,84.16 m³
Air,179 m²,12.53 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,20017,84.16 m³
Insulation-Rockwool,179 m²,28.65 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,20017,84.16 m³
Cladding,179 m²,17.91 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,20017,84.16 m³
EXTERIOR WALL PAINT,179 m²,0.00 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,20017,84.16 m³
Concrete Masonry Units,408 m²,57.17 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,13419,191.93 m³
Air,408 m²,28.58 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,13419,191.93 m³
Insulation-Rockwool,408 m²,65.34 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,13419,191.93 m³
Cladding,408 m²,40.84 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,13419,191.93 m³
EXTERIOR WALL PAINT,408 m²,0.00 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,13419,191.93 m³
Concrete Masonry Units,115 m²,16.08 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,3622,53.98 m³
Air,115 m²,8.04 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,3622,53.98 m³
Insulation-Rockwool,115 m²,18.37 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,3622,53.98 m³
Cladding,115 m²,11.48 m³,BEN714_EX-01-470,Basic Wall,Exterior,470,3622,53.98 m³
