Name,Number,Area,Level
Bed 3,435,14 m²,6th Floor Level
Bathroom,436,10 m²,6th Floor Level
Stair Core/ Lift,437,13 m²,6th Floor Level
Bed 1,438,14 m²,6th Floor Level
Bed 2,439,11 m²,6th Floor Level
Open Plan,440,38 m²,6th Floor Level
Bathroom,441,4 m²,6th Floor Level
Stair Core,442,14 m²,6th Floor Level
Stair Core/ Lift,443,32 m²,6th Floor Level
Open Plan,444,35 m²,6th Floor Level
Bed 1,445,17 m²,6th Floor Level
Bed 2,446,12 m²,6th Floor Level
Bathroom,447,7 m²,6th Floor Level
Open Plan,448,58 m²,6th Floor Level
Open Plan,449,50 m²,6th Floor Level
Bathroom,450,7 m²,6th Floor Level
Bed 1,451,9 m²,6th Floor Level
Bathroom,452,8 m²,6th Floor Level
Bed 1,453,9 m²,6th Floor Level
Bed 2,454,11 m²,6th Floor Level
Bed 2,455,11 m²,6th Floor Level
Open Plan,456,53 m²,6th Floor Level
Open Plan,457,34 m²,6th Floor Level
Bthroom,458,6 m²,6th Floor Level
Bed 1,459,10 m²,6th Floor Level
Bed 1,460,Not Enclosed,6th Floor Level
Bathroom,461,7 m²,6th Floor Level
Open Plan,462,27 m²,6th Floor Level
Bed 2,463,28 m²,6th Floor Level
Bed 1,464,9 m²,6th Floor Level
Bathroom,465,5 m²,6th Floor Level
Stair Core/ Lift,466,22 m²,6th Floor Level
Bed 2,467,10 m²,6th Floor Level
Open Plan,468,38 m²,7th Floor Level
Open Plan,469,39 m²,7th Floor Level
Bed 1,470,12 m²,7th Floor Level
Bed 2,471,9 m²,7th Floor Level
Bed 3,472,7 m²,7th Floor Level
Room,473,16 m²,7th Floor Level
Bed 1,474,12 m²,7th Floor Level
Bed 1,475,13 m²,7th Floor Level
Bathroom,476,6 m²,7th Floor Level
Bathroom,477,8 m²,7th Floor Level
Open Plan,478,49 m²,7th Floor Level
Open Plan,479,35 m²,7th Floor Level
Bed 1,480,10 m²,7th Floor Level
Cloaks,481,6 m²,7th Floor Level
Bed 2,482,9 m²,7th Floor Level
Bathroom,483,7 m²,7th Floor Level
Bed 3,484,17 m²,7th Floor Level
Stair Core/ Lift,485,38 m²,7th Floor Level
Open Plan,486,40 m²,7th Floor Level
Cloaks,487,4 m²,7th Floor Level
Bed 1,488,10 m²,7th Floor Level
Bed 2,489,8 m²,7th Floor Level
Open Plan,490,44 m²,7th Floor Level
Cloaks,491,4 m²,7th Floor Level
Bed 2,492,8 m²,7th Floor Level
Bed 1,493,10 m²,7th Floor Level
Bed 3,494,16 m²,7th Floor Level
Bed 3,495,16 m²,7th Floor Level
Open Plan,496,45 m²,7th Floor Level
Bathroom,497,8 m²,7th Floor Level
Bed 1,498,21 m²,7th Floor Level
Bathroom,499,9 m²,7th Floor Level
Open Plan,500,49 m²,7th Floor Level
Bed 1,501,17 m²,7th Floor Level
Bed 2,502,13 m²,7th Floor Level
Open Plan,503,38 m²,7th Floor Level
Bathroom,504,7 m²,7th Floor Level
Bed 2,505,17 m²,7th Floor Level
Bed 1,506,17 m²,7th Floor Level
En-Suite,507,4 m²,7th Floor Level
Open Plan,508,42 m²,7th Floor Level
Bed 1,509,14 m²,7th Floor Level
Bed 2,510,17 m²,7th Floor Level
Bed 3,511,14 m²,7th Floor Level
Bathroom,512,10 m²,7th Floor Level
Stair Core/ Lift,513,13 m²,7th Floor Level
Bed 1,514,14 m²,7th Floor Level
Bed 2,515,11 m²,7th Floor Level
Open Plan,516,38 m²,7th Floor Level
Bathroom,517,4 m²,7th Floor Level
Stair Core,518,14 m²,7th Floor Level
Stair Core/ Lift,519,32 m²,7th Floor Level
Open Plan,520,35 m²,7th Floor Level
Bed 1,521,17 m²,7th Floor Level
Bed 2,522,12 m²,7th Floor Level
Bathroom,523,7 m²,7th Floor Level
Open Plan,524,58 m²,7th Floor Level
Open Plan,525,50 m²,7th Floor Level
Bathroom,526,7 m²,7th Floor Level
Bed 1,527,9 m²,7th Floor Level
Bathroom,528,8 m²,7th Floor Level
Bed 1,529,9 m²,7th Floor Level
Bed 2,530,11 m²,7th Floor Level
