Type,Family,Width,Length,Area,Volume,Function,Structural Material,
Wall-Int_15p-219stone-15p,Basic Wall,249,3250,6 m²,1.45 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,6570,13 m²,3.27 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,4215,9 m²,2.12 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,4215,7 m²,1.83 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,4495,9 m²,2.23 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,2132,4 m²,1.01 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,1899,4 m²,0.93 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,2132,4 m²,0.88 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,3891,15 m²,3.84 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,5815,10 m²,2.40 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,5903,22 m²,5.42 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,2183,5 m²,1.13 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,2346,8 m²,1.98 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,8865,34 m²,8.43 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,5060,22 m²,5.26 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,5037,22 m²,5.28 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,9131,35 m²,8.69 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,1155,4 m²,0.85 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,1382,7 m²,1.53 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,4683,20 m²,4.72 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,6306,26 m²,6.46 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,8500,35 m²,8.61 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,1521,8 m²,1.64 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,4869,19 m²,4.66 m³,Interior,Stone External Walls,
Wall-Int_100brick,Basic Wall,125,2183,3 m²,0.33 m³,Interior,Brick, Common
Wall-Int_15p-219stone-15p,Basic Wall,249,1013,4 m²,0.68 m³,Interior,Stone External Walls,
Wall-Int_102Brick-230stone-280Hrd-230Stone-15P 2,Basic Wall,755,5923,78 m²,58.84 m³,Exterior,Site Rubble/Hardcore,
Wall-Int_102Brick-230stone-280Hrd-230Stone-15P 2,Basic Wall,755,10085,50 m²,37.89 m³,Exterior,Site Rubble/Hardcore,
